matlabVisual features error
0	-0.375524	0	0	-0.320169	0	0	-0.3167	0	0	0.371886	0	0	0.37569	0	0	0.312545	0	0	0.315983	0	0	-0.379452	0	
1	-0.375526	0	1	-0.320266	0	1	-0.316578	0	1	0.371807	0	1	0.375688	0	1	0.312185	0	1	0.316212	0	1	-0.379457	0	
3	-0.375462	0	3	-0.320371	0	3	-0.316522	0	3	0.371663	0	3	0.375807	0	3	0.31174	0	3	0.316277	0	3	-0.379458	0	
4	-0.375382	0	4	-0.320497	0	4	-0.316598	0	4	0.371884	0	4	0.376038	0	4	0.311377	0	4	0.316211	0	4	-0.379454	0	
5	-0.375224	0	5	-0.320471	0	5	-0.316631	0	5	0.371801	0	5	0.376092	0	5	0.311282	0	5	0.316304	0	5	-0.379431	0	
6	-0.375236	0	6	-0.320534	0	6	-0.316439	0	6	0.371589	0	6	0.376073	0	6	0.311507	0	6	0.316361	0	6	-0.379566	0	
7	-0.375038	0	7	-0.320633	0	7	-0.316239	0	7	0.371568	0	7	0.376121	0	7	0.311492	0	7	0.316365	0	7	-0.379535	0	
8	-0.382701	0	8	-0.317835	0	8	-0.322694	0	8	0.374251	0	8	0.369506	0	8	0.313473	0	8	0.3099	0	8	-0.377859	0	
9	-0.403857	0	9	-0.309974	0	9	-0.344483	0	9	0.382362	0	9	0.347707	0	9	0.322075	0	9	0.287675	0	9	-0.369004	0	
10	-0.506363	0	10	-0.261289	0	10	-0.447315	0	10	0.427682	0	10	0.243926	0	10	0.36848	0	10	0.18296	0	10	-0.321981	0	
11	-0.555147	0	11	-0.227554	0	11	-0.495709	0	11	0.46034	0	11	0.194437	0	11	0.400174	0	11	0.132472	0	11	-0.28799	0	
12	-0.592941	0	12	-0.154066	0	12	-0.531283	0	12	0.530356	0	12	0.155675	0	12	0.470873	0	12	0.0934264	0	12	-0.214392	0	
13	-0.570674	0	13	-0.097612	0	13	-0.510059	0	13	0.584123	0	13	0.175894	0	13	0.525572	0	13	0.113238	0	13	-0.15731	0	
14	-0.553399	0	14	-0.0808358	0	14	-0.493524	0	14	0.599	0	14	0.190941	0	14	0.540911	0	14	0.130129	0	14	-0.14029	0	
15	-0.530818	0	15	-0.0683605	0	15	-0.472599	0	15	0.610684	0	15	0.211339	0	15	0.553232	0	15	0.151042	0	15	-0.126884	0	
16	-0.471142	0	16	-0.0473423	0	16	-0.415222	0	16	0.629154	0	16	0.265956	0	16	0.573183	0	16	0.209165	0	16	-0.104948	0	
17	-0.429998	0	17	-0.0378678	0	17	-0.375879	0	17	0.637558	0	17	0.304717	0	17	0.582503	0	17	0.248854	0	17	-0.0948265	0	
18	-0.337502	0	18	-0.0377558	0	18	-0.286074	0	18	0.635932	0	18	0.390847	0	18	0.582794	0	18	0.3389	0	18	-0.0927438	0	
19	-0.28554	0	19	-0.052735	0	19	-0.235486	0	19	0.621147	0	19	0.439783	0	19	0.568552	0	19	0.389062	0	19	-0.106453	0	
20	-0.20326	0	20	-0.116862	0	20	-0.15487	0	20	0.556219	0	20	0.517328	0	20	0.506229	0	20	0.469875	0	20	-0.167914	0	
21	-0.177502	0	21	-0.16238	0	21	-0.13068	0	21	0.509953	0	21	0.540844	0	21	0.462158	0	21	0.493982	0	21	-0.211662	0	
22	-0.155378	0	22	-0.270623	0	22	-0.109916	0	22	0.401004	0	22	0.559523	0	22	0.356368	0	22	0.514845	0	22	-0.315449	0	
23	-0.154584	0	23	-0.325738	0	23	-0.109723	0	23	0.344704	0	23	0.558795	0	23	0.301762	0	23	0.515281	0	23	-0.369172	0	
24	-0.159645	0	24	-0.419708	0	24	-0.116999	0	24	0.247678	0	24	0.549518	0	24	0.207841	0	24	0.508364	0	24	-0.460002	0	
25	-0.166503	0	25	-0.455335	0	25	-0.124519	0	25	0.2103	0	25	0.54066	0	25	0.172179	0	25	0.500483	0	25	-0.493896	0	
26	-0.181306	0	26	-0.513107	0	26	-0.142973	0	26	0.14918	0	26	0.520839	0	26	0.113459	0	26	0.483269	0	26	-0.549245	0	
27	-0.200688	0	27	-0.569348	0	27	-0.165155	0	27	0.089604	0	27	0.49589	0	27	0.056871	0	27	0.461532	0	27	-0.601976	0	
28	-0.213315	0	28	-0.596125	0	28	-0.17877	0	28	0.061129	0	28	0.480594	0	28	0.0299793	0	28	0.448074	0	28	-0.627511	0	
29	-0.228767	0	29	-0.621538	0	29	-0.19561	0	29	0.0341682	0	29	0.462887	0	29	0.00391733	0	29	0.431459	0	29	-0.651159	0	
30	-0.272872	0	30	-0.66366	0	30	-0.244134	0	30	-0.0117715	0	30	0.41211	0	30	-0.0395134	0	30	0.385093	0	30	-0.690982	0	
31	-0.30139	0	31	-0.68122	0	31	-0.274566	0	31	-0.030894	0	31	0.380537	0	31	-0.0573049	0	31	0.35563	0	31	-0.707074	0	
32	-0.36351	0	32	-0.7137	0	32	-0.340956	0	32	-0.0664545	0	32	0.311354	0	32	-0.0913833	0	32	0.290889	0	32	-0.737187	0	
33	-0.397535	0	33	-0.731504	0	33	-0.376855	0	33	-0.0857149	0	33	0.273389	0	33	-0.109583	0	33	0.255701	0	33	-0.753365	0	
34	-0.452025	0	34	-0.749383	0	34	-0.435565	0	34	-0.106786	0	34	0.211443	0	34	-0.128055	0	34	0.198562	0	34	-0.768724	0	
35	-0.467297	0	35	-0.745184	0	35	-0.453699	0	35	-0.103119	0	35	0.192704	0	35	-0.122281	0	35	0.182094	0	35	-0.762626	0	
